day,pred_regime,actual_regime,correct,rev_regime,rev_perfect,rev_oracle
1622,2,2,True,221229.16087082992,221229.16087082992,263516.30641149695
1623,2,2,True,221025.61009602982,221025.61009602982,275788.63613832067
1624,2,5,False,95266.91702239997,50739.99999999999,159995.6993143
1625,2,4,False,140902.6722272999,149249.14378249986,275769.80462739995
1626,2,4,False,234189.15796650984,254498.91651744972,393876.58966303116
1627,2,2,True,208767.40207001995,208767.40207001995,267347.3859116
1628,2,2,True,281492.1779090399,281492.1779090399,324329.5765219434
1629,2,2,True,250246.96193087983,250246.96193087983,324733.0991088
1630,2,2,True,213661.05788536987,213661.05788536987,286392.99278325646
1631,2,2,True,215220.84048473995,215220.84048473995,270583.7563995876
1632,2,2,True,213057.69709672997,213057.69709672997,268220.329013
1633,2,4,False,284711.5507992199,288058.5043536199,498811.09829696914
1634,2,2,True,207575.30723133983,207575.30723133983,308487.3604169256
1635,2,2,True,225423.89331314998,225423.89331314998,265269.76466
1636,2,4,False,244380.24556523975,253997.51620983967,418367.86712400004
1637,2,2,True,251613.2316809199,251613.2316809199,295078.55907200003
1638,2,2,True,190658.84313623,190658.84313623,251086.5826968
1639,2,2,True,226989.81006889985,226989.81006889985,301581.860690205
1640,2,2,True,243074.59110889988,243074.59110889988,304968.6929385
1641,2,2,True,219564.1616636599,219564.1616636599,263011.2953204145
1642,2,2,True,199482.6630552499,199482.6630552499,324508.2693139472
1643,2,2,True,245754.48049397985,245754.48049397985,417578.39298005006
1644,2,2,True,231090.25826605991,231090.25826605991,293652.57894749194
1645,2,2,True,236052.83656281984,236052.83656281984,306725.379756
1646,2,2,True,252068.07222729988,252068.07222729988,291600.353756
1647,2,2,True,259706.3152056698,259706.3152056698,294521.96242
1648,2,2,True,218578.0011507599,218578.0011507599,297483.97909003973
1649,2,2,True,123903.66730206988,123903.66730206988,249922.474828
1650,2,4,False,82087.3459596499,118834.55087880984,194276.67146614747
1651,2,3,False,21827.30258448993,59599.79999999999,137186.96883192097
1652,2,2,True,208572.17998211988,208572.17998211988,294311.79940725
1653,2,2,True,186720.3324551199,186720.3324551199,261730.6691788
1654,2,2,True,178232.47832818996,178232.47832818996,220693.97242933125
1655,2,4,False,203193.00854762987,208560.88040112983,291894.2694292581
1656,2,2,True,249292.53310559987,249292.53310559987,359769.40221490193
1657,2,2,True,234487.0520004299,234487.0520004299,277564.196304
1658,2,2,True,183550.38111313985,183550.38111313985,292254.98125989997
1659,4,2,False,217228.13496500978,204140.56976070983,291576.55184
1660,2,2,True,213153.36228104983,213153.36228104983,301563.73812040006
1661,2,2,True,294023.85709834984,294023.85709834984,397332.87424379995
1662,2,2,True,269642.5536080399,269642.5536080399,365482.8914778688
1663,2,2,True,237830.80267417987,237830.80267417987,277956.3925072
1664,2,2,True,166969.02993504994,166969.02993504994,246976.4427364165
1665,2,0,False,175107.7936459399,223208.2152451199,286640.7663422789
1666,2,2,True,238328.45529719983,238328.45529719983,315414.2457633483
1667,2,2,True,269390.74055216985,269390.74055216985,326764.24440067855
1668,2,2,True,242076.20943383998,242076.20943383998,299792.44180760003
1669,2,2,True,252842.6883905098,252842.6883905098,317363.48822175
1670,2,2,True,249482.94240808988,249482.94240808988,293821.2880152
1671,2,2,True,245323.42525208992,245323.42525208992,292052.03780543024
1672,2,2,True,234282.8747631299,234282.8747631299,270828.75986234506
1673,2,2,True,67272.07687277987,67272.07687277987,238222.53890043212
1674,2,2,True,250083.67456271983,250083.67456271983,283762.85533258313
1675,2,2,True,238096.10196051988,238096.10196051988,310158.1761889659
1676,2,2,True,200097.26528906988,200097.26528906988,317374.76585477864
1677,2,2,True,245002.72252884996,245002.72252884996,311000.83360759873
1678,2,2,True,248653.68379687986,248653.68379687986,290254.45219057344
1679,2,2,True,248654.76819945988,248654.76819945988,283409.75825320004
1680,2,2,True,175947.65501889997,175947.65501889997,251611.8965692
1681,2,2,True,198171.47385582986,198171.47385582986,247369.05325170004
1682,2,2,True,207701.05069558995,207701.05069558995,257089.6558828929
1683,2,2,True,224081.7806251498,224081.7806251498,279108.4508820332
1684,2,2,True,246415.65886320983,246415.65886320983,300345.98262778553
1685,2,2,True,213701.9395911498,213701.9395911498,269488.51573954744
1686,2,2,True,223920.23532094987,223920.23532094987,260598.250596
1687,2,2,True,181351.70674308995,181351.70674308995,216043.45096021923
1688,2,2,True,218663.18315984998,218663.18315984998,275170.72312219447
1689,2,2,True,201849.67097811986,201849.67097811986,303104.2841637844
1690,2,2,True,253247.02324858,253247.02324858,301043.03757283324
1691,2,2,True,178223.23639606987,178223.23639606987,244772.7928833148
1692,2,3,False,-128549.76313526013,231857.0,338701.38318905316
1693,3,2,False,-96845.4,201571.7040749798,283443.90282865
1694,2,2,True,224049.1595524798,224049.1595524798,276384.30332813616
1695,4,2,False,226837.25950159988,226353.62049007992,272211.0180967043
1696,2,2,True,126976.77952858988,126976.77952858988,211721.71565079497
1697,2,2,True,189331.6913463599,189331.6913463599,245999.67666758722
1698,2,2,True,106901.27995082988,106901.27995082988,134481.52891601136
1699,2,3,False,44253.61648330993,52374.8,98237.57256525772
1700,2,1,False,31183.52037617988,58275.8,123862.12369958255
1701,2,2,True,41047.1043475599,41047.1043475599,94643.30947257267
1702,2,4,False,42683.45191568992,55981.250472519874,93998.03336418254
1703,2,2,True,184152.5832176798,184152.5832176798,223559.0069824487
1704,2,4,False,77730.91180882987,95727.98605274985,244379.5188341375
1705,4,2,False,100736.70740657984,97305.23672249985,165784.54594062737
1706,2,2,True,244820.20032445982,244820.20032445982,310942.02027021354
1707,2,2,True,246837.02617131986,246837.02617131986,339776.66080720985
1708,2,2,True,271136.3498883298,271136.3498883298,326838.85935178667
1709,2,2,True,172329.2372133198,172329.2372133198,239393.84384842962
1710,2,1,False,42300.53282649988,7119.4000000000015,150371.45172933486
1711,2,2,True,125216.30477546988,125216.30477546988,184035.8547388
1712,2,2,True,161758.7516906998,161758.7516906998,234204.71495320683
1713,2,2,True,144603.5834926698,144603.5834926698,202707.21442955625
1714,2,2,True,119715.85095752987,119715.85095752987,200058.5148511858
1715,2,2,True,168923.67742513985,168923.67742513985,229768.82945027936
1716,4,2,False,101668.35638373983,183702.1552450298,243402.09267419655
1717,2,2,True,187483.98508598987,187483.98508598987,248147.8192976
1718,2,4,False,83595.33219260992,110539.5289070999,172757.4681718773
1719,2,2,True,124178.51523847989,124178.51523847989,212710.90128881083
1720,2,2,True,212286.48378415985,212286.48378415985,270122.12155197636
1721,2,2,True,197930.40282474988,197930.40282474988,263672.9980336039
1722,2,2,True,183605.50925619993,183605.50925619993,240050.45168114468
1723,2,4,False,125426.27699659992,147676.39035569978,201573.10024783388
1724,2,5,False,-12641.432449639997,49877.80000000001,98105.15104952038
1725,4,1,False,-3495.5846053999994,-2424.0,0.0
1726,4,4,True,87976.75359037984,87976.75359037984,118160.46934246863
1727,4,5,False,31217.615394599983,16298.799999999981,84963.78813479497
1728,4,5,False,36544.2153946,15305.800000000003,103920.37222883945
1729,4,5,False,36253.01539460001,36633.200000000004,101695.44742024886
1730,4,5,False,54424.4153946,42680.79999999999,102021.40952178769
1731,0,5,False,-31162.390309600018,4443.399999999987,87263.4138556
1732,4,5,False,-10507.984605399999,20477.20000000001,73227.2504198
1733,4,2,False,128530.61331779987,112888.6747436399,169854.75266072128
1734,2,2,True,198131.1629061599,198131.1629061599,336243.77292018547
1735,2,4,False,111601.62671772987,121057.87562698983,158029.94325080636
1736,2,2,True,132345.4837562899,132345.4837562899,182037.98674676253
1737,2,2,True,173728.95055912988,173728.95055912988,256631.22930582904
1738,2,4,False,66710.5366921299,74144.47343461985,126103.31643413471
1739,2,4,False,81739.19650851992,98442.55014801992,133585.6614228734
1740,4,4,True,89828.45253508983,89828.45253508983,153352.22725907032
1741,4,2,False,103246.38558155987,119470.36349529988,153285.65026902076
1742,2,4,False,57959.64624399992,69554.74417189989,100006.50683980182
1743,2,2,True,81824.37398763988,81824.37398763988,128202.12470899124
1744,4,2,False,212653.2615641699,204978.24361259994,263541.8035209
1745,2,2,True,189634.89642108997,189634.89642108997,224080.29039015493
1746,2,2,True,165680.61912097994,165680.61912097994,240779.14977368282
1747,4,2,False,135841.7510086099,138759.5435225099,185978.41274467658
1748,2,2,True,88828.93469367991,88828.93469367991,128685.43773532202
1749,2,4,False,197770.19848861994,194230.2012357599,231901.66875817435
1750,4,2,False,159917.71948861986,155167.7305654799,217415.47446456066
1751,2,2,True,130933.88451380987,130933.88451380987,170632.70728736164
1752,2,4,False,54599.77298204987,82235.74954702985,119651.93510342682
1753,3,2,False,-30226.199999999997,148300.01409237986,179391.97650190786
1754,2,4,False,78150.6979382599,86095.79082688988,122054.81659930431
1755,4,4,True,80589.81013503986,80589.81013503986,113962.37675638241
1756,4,4,True,85133.33801796976,85133.33801796976,169474.45753047927
1757,4,2,False,81703.25227548994,82213.18058458998,130912.76587553497
1758,2,2,True,85303.31614680991,85303.31614680991,126273.75253378304
1759,2,4,False,90316.3284416599,70458.61968331988,130453.31236582417
1760,2,2,True,191513.06273648993,191513.06273648993,254999.79578712463
1761,2,2,True,114659.16632103993,114659.16632103993,141277.42785717297
1762,2,4,False,83403.71062395991,57950.32937828985,142052.72812490416
1763,2,4,False,100403.96387385992,99322.81796213989,130835.89817008536
1764,2,4,False,52711.509828599905,53985.184509379884,92887.96134588384
1765,2,1,False,33363.9539894799,54376.99999999999,131018.86365266153
1766,2,2,True,189112.42209063988,189112.42209063988,250410.50061860002
1767,2,2,True,153097.4645900199,153097.4645900199,213102.887281754
1768,2,3,False,34768.17652910987,62066.19999999999,109405.01078193316
1769,3,4,False,31024.200000000004,119084.60575029987,149007.119176452
1770,2,3,False,44051.964499339905,51781.40000000002,175933.0407029409
1771,4,2,False,88684.81211581986,116334.7935047099,152137.68042350584
1772,2,2,True,202008.0437597299,202008.0437597299,243908.34831030856
1773,2,3,False,-35827.89842261009,134385.60000000012,264207.0740784204
1774,3,2,False,-84625.39999999997,167381.27380114992,215716.6076572354
1775,2,2,True,157536.09084902986,157536.09084902986,196665.19117799093
1776,2,3,False,27343.87304720992,48536.8,84345.37565118584
1777,2,3,False,12438.27390043989,50492.19999999999,86427.33665968166
1778,2,2,True,168094.19619227,168094.19619227,204269.1121507644
1779,2,2,True,192727.09505433994,192727.09505433994,216777.41737980003
1780,2,4,False,121309.45184595992,134712.63275574986,187619.79231006565
1781,3,3,True,56152.2,56152.2,239257.72823805184
1782,4,2,False,171496.03666929988,182522.59338199996,219307.7746934669
1783,2,2,True,191730.31811318992,191730.31811318992,223992.39982
1784,2,3,False,18122.421558839917,45294.60000000005,70275.40305900706
1785,3,2,False,-114460.40000000001,239491.16756927982,279838.08156450005
1786,2,2,True,175168.96534452992,175168.96534452992,247601.3567453568
1787,2,3,False,40548.94005264991,38443.600000000006,81985.52421494677
1788,3,3,True,45880.20000000001,45880.20000000001,78291.1258908401
1789,3,2,False,-22773.00000000003,149821.03249587983,236349.53377974068
1790,2,2,True,264216.68598754995,264216.68598754995,294875.5143614
1791,2,2,True,83404.19167949991,83404.19167949991,114402.25020356275
1792,2,3,False,39505.56636320987,37391.000000000015,80292.89072721428
1793,2,2,True,64297.60906844988,64297.60906844988,90743.33898431536
1794,2,2,True,211776.02039130995,211776.02039130995,246821.4115018
1795,2,2,True,205441.42771589983,205441.42771589983,239094.0324996
1796,2,2,True,88310.90077173988,88310.90077173988,350359.38652971433
1797,2,3,False,5802.064422709911,45372.99999999997,70271.8834892
1798,2,4,False,38287.52432677986,37186.410394639846,65352.995
1799,2,3,False,55619.04108526988,41021.19999999997,176372.92687403815
1800,0,3,False,32910.149994239866,43682.799999999996,128582.23624446084
1801,2,2,True,46102.44642899991,46102.44642899991,83143.80858782126
1802,2,0,False,87027.97357078987,111410.96124659982,133124.76695638243
1803,2,3,False,-86262.95259022017,127093.99999999994,275632.6058922969
1804,4,0,False,25442.987562339862,30214.140734159868,60417.010800000004
1805,4,3,False,34363.05903040992,49529.999999999956,87951.53084874038
1806,3,1,False,34026.599999999984,64287.20000000001,96619.95324889342
1807,3,3,True,90914.20000000003,90914.20000000003,154576.98726016656
1808,4,0,False,47240.40183674991,61401.24980699989,90572.75798893148
1809,2,2,True,220755.61597538993,220755.61597538993,256975.7951597196
1810,2,3,False,-61441.648635220125,128549.19999999997,222001.4118678613
1811,3,2,False,-19425.600000000035,124927.63843165991,178147.25943451037
1812,2,3,False,18500.38920235993,35238.19999999998,76684.86045285805
1813,2,2,True,255634.8325283998,255634.8325283998,327503.225844963
1814,2,2,True,123028.3614616899,123028.3614616899,151817.23487635714
1815,2,4,False,105687.39896484994,88964.28650704987,125817.1937216823
1816,2,2,True,248530.9794485299,248530.9794485299,284261.073905879
1817,2,2,True,224389.6423525498,224389.6423525498,259965.712336
1818,2,2,True,72170.76471028992,72170.76471028992,102989.49987604088
1819,2,2,True,141848.22322186982,141848.22322186982,214526.28945535998
1820,2,5,False,36812.092791659925,26808.20000000001,67896.56159999999
1821,2,2,True,43418.12036445988,43418.12036445988,64243.62085983883
1822,2,2,True,201218.7842002099,201218.7842002099,233698.24348580002
1823,2,2,True,60054.423086519884,60054.423086519884,129749.94792180878
1824,2,2,True,247064.9518813299,247064.9518813299,302224.7793874535
1825,2,3,False,11010.872169579845,62134.8,161975.44249729792
1826,4,0,False,33763.16580221988,43464.245607279845,68750.3916
1827,2,2,True,231814.10246707988,231814.10246707988,269445.11787136155
1828,2,4,False,286588.56587688974,291893.89011298976,367637.7798548145
1829,2,2,True,228149.24612851982,228149.24612851982,268630.8786456
1830,2,2,True,230278.6373143398,230278.6373143398,285804.83205127023
1831,2,2,True,225515.23311681996,225515.23311681996,285668.7200530777
1832,2,2,True,40735.496601039886,40735.496601039886,61731.909
1833,2,3,False,34037.87457803985,34691.800000000025,70117.84980174976
1834,2,3,False,-124793.10453013016,222323.79999999996,314897.5010342574
1835,2,2,True,216966.66896922985,216966.66896922985,259135.90921120002
1836,2,2,True,207258.69176436984,207258.69176436984,236542.94072459996
1837,2,2,True,198750.21626860986,198750.21626860986,248190.93441054074
1838,2,2,True,207538.71233564994,207538.71233564994,246968.4367491058
1839,2,2,True,242748.65950374983,242748.65950374983,284111.7782567624
1840,2,2,True,202109.02063565992,202109.02063565992,271201.05224588065
1841,2,5,False,24168.36676466995,42045.599999999984,95575.18835657214
1842,2,5,False,57466.70671099,126603.40000000002,212812.9990892
1843,0,0,True,225441.61169087983,225441.61169087983,298519.47504512774
1844,2,2,True,196246.07601875986,196246.07601875986,260310.41857768298
1845,2,2,True,202292.75478408995,202292.75478408995,252318.92445203714
1846,2,2,True,193663.3594185099,193663.3594185099,251238.83270031482
1847,2,2,True,212317.64968752992,212317.64968752992,263103.4236307827
1848,2,2,True,184698.09111727992,184698.09111727992,232498.8731854031
1849,2,3,False,18078.109775669902,35502.400000000045,104818.2243756401
1850,3,5,False,-84467.20000000003,48754.59999999996,242220.38710846932
1851,0,0,True,267948.54735647986,267948.54735647986,317504.1655489999
1852,2,2,True,182307.20210668998,182307.20210668998,250770.29999107303
1853,2,4,False,150948.0886483999,156267.83421732983,256115.1576426911
1854,2,2,True,173878.82987416998,173878.82987416998,235360.79223044423
1855,2,2,True,155985.5373214899,155985.5373214899,238512.42802672306
1856,2,5,False,154951.9917524,137809.6,252316.0662088902
1857,0,2,False,102950.48544467986,97021.60273049987,213417.83250892232
1858,2,4,False,124236.8404125299,125904.63740008988,261576.92611751118
1859,2,2,True,195432.23058513989,195432.23058513989,263013.78325060004
1860,2,2,True,183470.81745506983,183470.81745506983,221483.09666528314
1861,2,5,False,146334.29201588992,150040.59999999995,230411.95096313668
1862,2,4,False,94010.82311207992,111851.20893305988,167101.193297066
1863,2,5,False,133707.89148492995,138297.6,200786.52462297882
1864,3,2,False,-14225.199999999979,124376.1546281999,185024.93178126359
1865,2,5,False,38568.483376449905,24120.19999999997,64430.0118
1866,2,3,False,-5941.4446488601025,43037.79999999998,92249.23841756028
1867,2,4,False,116934.32873272989,49468.0726220399,318683.5890071055
1868,2,3,False,20054.043158939945,43476.99999999999,80641.26270062191
1869,3,3,True,93476.59999999999,93476.59999999999,145556.01427886583
1870,3,2,False,-51878.6,149620.2553328799,257749.29176023236
1871,2,2,True,176120.2457797099,176120.2457797099,227248.9424388617
1872,2,5,False,52157.735471919885,47939.19999999998,86005.7923157584
1873,2,2,True,143073.48533405986,143073.48533405986,202927.37668052118
1874,2,5,False,63217.38590755002,68383.60000000002,162201.51269305433
1875,0,3,False,96206.27639975985,123688.80000000002,209438.0618313679
1876,5,0,False,91985.8,164302.44840435986,284672.5738629342
1877,2,2,True,158563.2342118899,158563.2342118899,240009.70521420002
1878,2,3,False,6165.199543459919,60749.20000000001,161443.61095849058
1879,3,1,False,35472.00000000001,48316.99999999999,81729.56623493202
1880,0,2,False,172307.00382523998,166494.71990804002,202055.90641251038
1881,2,4,False,112843.55222926993,116561.21615916991,158894.27047504214
1882,4,2,False,147910.26969887997,171614.65397162997,207835.8766912
1883,0,0,True,152665.11187811985,152665.11187811985,213476.41307740027
1884,2,2,True,157542.7826541699,157542.7826541699,240131.32224058625
1885,3,2,False,-45527.59999999999,163715.05900023988,275526.46958266734
1886,2,5,False,152677.46484527,141352.40000000005,223258.58372908653
1887,2,4,False,137541.3414262199,117478.0582996199,267737.69886773964
1888,0,5,False,31162.16183623995,45152.00000000003,232937.89542902447
1889,2,2,True,217822.48956485995,217822.48956485995,328292.49017070653
1890,2,0,False,144567.68918126984,242101.8815717998,325229.09922911186
1891,2,3,False,25457.42986146988,44794.399999999965,79400.47662704754
1892,3,0,False,-3367.799999999997,203980.71607783996,245214.40922858808
1893,2,3,False,31102.532424239977,48965.399999999994,102092.24427709497
1894,3,0,False,-12275.399999999998,299717.4388256398,355771.36502160004
1895,2,5,False,83417.79290228999,169237.19999999995,311792.0379886104
1896,0,0,True,157990.3973064001,157990.3973064001,461058.81900510495
1897,0,4,False,154046.07887000003,149863.80756750001,189631.83732591476
1898,2,0,False,210522.40001255006,278393.5973064,356088.96825999994
1899,0,0,True,252449.16378087972,252449.16378087972,387985.26193017774
1900,5,5,True,143084.79999999993,143084.79999999993,246190.27739703894
1901,0,3,False,858.5636133599282,64549.59999999998,155450.0881386318
1902,3,5,False,-78964.20000000004,123738.79999999999,283702.769763169
1903,0,3,False,-78326.70308780012,207200.40000000002,376296.79687235097
1904,3,4,False,11926.200000000004,183277.6534774698,270504.20841537876
1905,2,3,False,-197105.29348142009,235701.20000000004,317423.21159206383
1906,3,3,True,102882.19999999998,102882.19999999998,330987.3869255867
1907,3,0,False,42396.79999999998,125227.71166295987,166947.9476887952
1908,0,2,False,225040.19123427977,185842.50451825984,258739.16756367177
1909,2,2,True,209670.5013724299,209670.5013724299,263767.68005200004
1910,2,0,False,187862.66418437986,251335.25093863986,301920.62620381574
1911,2,2,True,189149.92393047,189149.92393047,235205.541168
1912,2,4,False,162610.32898566,171913.54834504996,304767.127727352
1913,2,3,False,-53398.91158880001,195957.1999999999,411877.46568951197
1914,3,2,False,-5088.20000000001,134207.25028938992,195990.87313452092
1915,2,0,False,50427.30231531988,56185.57707315986,77202.98243657353
1916,2,0,False,35775.7702382399,33817.175080879926,61525.45533374091
1917,0,2,False,154765.14800195987,175563.19686796985,213984.9000832
1918,2,3,False,32839.84456826991,40867.00000000002,65212.037506060944
1919,2,3,False,25215.8022647999,77985.40000000008,139406.30680822174
1920,0,2,False,207591.0645577599,193516.16545588992,250182.2586453172
1921,2,2,True,159213.04215791993,159213.04215791993,263945.48767609143
1922,2,0,False,113195.10685478983,158273.27258271986,423750.62367614306
1923,5,2,False,66508.8,160680.21093094986,291881.2036092742
1924,2,4,False,223261.78342295985,240280.0493523298,424766.785281829
1925,2,2,True,206892.10074970985,206892.10074970985,243956.3480958
1926,2,2,True,213202.53646382998,213202.53646382998,244886.161788
1927,2,4,False,111962.07453560994,118106.99160568987,187708.80014440484
1928,4,4,True,35697.20050496986,35697.20050496986,93772.02368137451
1929,2,2,True,210005.65656172996,210005.65656172996,237919.04958800002
1930,2,4,False,153075.47663579992,142754.0750259999,329024.70724712353
1931,2,2,True,182681.87739247992,182681.87739247992,224513.33625852162
1932,2,4,False,101022.86462928989,100592.95298938989,177797.5731924561
1933,4,4,True,196112.78179780982,196112.78179780982,235292.38889200002
1934,2,2,True,203787.78322290993,203787.78322290993,248414.64709989083
1935,2,5,False,176173.05846132993,141937.19999999995,245271.11886000002
1936,2,4,False,177011.46241221987,176328.6115966198,310063.8173698
1937,2,4,False,257924.96113898,248768.72293098,308990.270008
1938,2,2,True,96784.3170224,96784.3170224,380050.38208826585
1939,0,4,False,56852.61846432002,68877.99415368002,141212.1102656002
1940,0,4,False,143774.0676258399,159302.02432765986,191140.4768786
1941,2,3,False,33806.04643055989,141667.4,255076.70566759998
1942,2,2,True,72258.69820102991,72258.69820102991,161817.75709716452
1943,2,2,True,205049.0173239799,205049.0173239799,253212.1074500723
1944,2,1,False,23718.411210709943,58637.000000000015,85967.11052530832
1945,0,2,False,193772.15731787993,166720.0086262099,268572.21792520006
1946,2,2,True,157551.9955590399,157551.9955590399,201857.325130077
1947,2,3,False,-151566.10818244008,217157.4,262430.46891920065
1948,3,4,False,60532.40000000001,63185.77973523987,131663.5763400176
1949,3,3,True,67328.59999999998,67328.59999999998,112539.09979015496
1950,2,3,False,-16950.92107614017,137267.59999999983,291768.5209853905
1951,3,3,True,53677.00000000004,53677.00000000004,247700.1129754297
1952,3,0,False,-6295.800000000003,386116.89907199977,466096.10407640005
1953,2,2,True,248776.3974773099,248776.3974773099,306266.5087316
1954,2,0,False,105435.76941933988,147616.51112915983,334008.2185206409
1955,2,2,True,244468.4306528199,244468.4306528199,409078.02792260004
1956,2,4,False,211723.81062070993,207185.47442500986,285542.50813280005
1957,2,2,True,242506.92990995987,242506.92990995987,290567.16871619166
1958,2,2,True,274629.9616683198,274629.9616683198,312776.85920580005
1959,2,2,True,281083.30888986,281083.30888986,383576.51640928077
1960,2,2,True,41063.84460614988,41063.84460614988,68249.33882042795
1961,3,2,False,-83071.39999999992,235054.32027372983,296023.77730165934
1962,2,2,True,208783.6673354998,208783.6673354998,352171.8656369769
1963,2,2,True,267413.84478232986,267413.84478232986,303450.0980826201
1964,2,2,True,131582.6202080799,131582.6202080799,274775.10769080004
1965,2,2,True,241746.57597994982,241746.57597994982,270597.01427200006
1966,2,2,True,206222.3731714999,206222.3731714999,267883.2096662545
1967,2,2,True,196420.32143151996,196420.32143151996,222395.675188
1968,2,2,True,159427.84386989972,159427.84386989972,233030.54574343836
1969,2,2,True,185017.26977748986,185017.26977748986,267647.4891168876
1970,2,2,True,214414.36638154997,214414.36638154997,326125.819098
1971,2,2,True,197609.6277621599,197609.6277621599,243140.84750400003
1972,2,2,True,250533.63964246982,250533.63964246982,293226.5362144
1973,2,2,True,272963.58633546985,272963.58633546985,349770.27242
1974,2,2,True,197869.2048633099,197869.2048633099,227871.24311259616
1975,2,2,True,237896.38413535987,237896.38413535987,307860.57961178455
1976,2,2,True,166258.7227914599,166258.7227914599,197511.72416717611
1977,2,2,True,88513.01120559993,88513.01120559993,107535.52112334773
1978,2,2,True,270824.66077650996,270824.66077650996,303306.13798800006
1979,2,2,True,264292.9479448499,264292.9479448499,321593.18404120003
1980,2,2,True,318400.3930123499,318400.3930123499,368751.2787166
1981,2,2,True,196189.8334916599,196189.8334916599,216910.17967200006
1982,2,2,True,190087.5156594199,190087.5156594199,218659.821556
1983,2,2,True,195390.76668954984,195390.76668954984,264819.695556
1984,2,2,True,193441.84757124988,193441.84757124988,214720.52387200005
1985,2,4,False,63076.95296626992,171359.98511036992,321105.461976
1986,2,1,False,32990.21938007996,38467.20000000003,62005.1346
